Lake_Series,Lake_Name,Date,pH,Contaminants,Bacteria_Level,Temperature,Turbidity,Dissolved_Oxygen,Nitrogen_Levels,Alkalinity_Level,Calcium_Hardness,Magnesium_Hardness,Sodium,Chloride_Levels,Total_Dissolved_Solids,Cadmium,Iron,Lead,Mercury,Zinc,Nitrate,Nitrite,Nickel
Byramangala Lake Series,Doddabidarakallu Lake,17-11-2021,7.4,104.37,1619.16,20.29,3.22,8.44,0.77,55.69,289.31,99.65,45.83,180.18,888.75,0.0048,0.24,0.005,0.0001,0.012,0.46,0.06,0.15
Byramangala Lake Series,Doddabidarakallu Lake,16-03-2022,6.48,88.12,2719.14,13.8,0.69,11.1,8.8,74.95,175.25,32.93,12.3,33.78,662.61,0.0043,0.28,0.01,0.0001,0.034,0.92,0.09,0.13
Byramangala Lake Series,Doddabidarakallu Lake,29-11-2022,6.2,124.35,778.8,15.42,1.2,6.73,4.11,65.82,9.03,28.85,70.43,118.07,965.07,0.002,0.21,0.003,0.0001,0.018,0.24,0.07,0.11
Byramangala Lake Series,Doddabidarakallu Lake,30-04-2021,7.41,3.02,1697.96,31.95,5.15,7.65,9.8,37.35,289.5,68.12,79.21,32.79,583.14,0.0007,0.14,0.002,0.0001,0.033,2.05,0.02,0.15
Byramangala Lake Series,Doddabidarakallu Lake,06-07-2020,6.85,122.81,2789.77,33.6,4.13,5.79,2.29,155.1,31,54.04,21.24,115.72,200.31,0.0037,0.02,0.019,0.0001,0.007,0.47,0.07,0.14
Byramangala Lake Series,Doddabidarakallu Lake,12-04-2020,7.63,111.34,338.7,14.36,2.44,9.21,8.77,61.23,247.81,131.72,26.35,192.69,510.72,0.0024,0.08,0.014,0.0002,0.038,2.28,0.08,0.13
Byramangala Lake Series,Doddabidarakallu Lake,12-12-2021,8.53,86.61,676.3,29.56,0.82,6.72,8.36,118.03,93.73,118.96,59.77,109.02,281.74,0.0008,0.1,0.004,0.0001,0.01,0.57,0.06,0.11
Byramangala Lake Series,Doddabidarakallu Lake,12-04-2021,7.15,60.32,1682.49,36.36,6.12,14.07,1.78,147.14,214.98,62.4,14.69,194.83,670.08,0.0021,0.2,0.015,0.0001,0.027,1.62,0.09,0.12
Byramangala Lake Series,Doddabidarakallu Lake,28-03-2021,8.61,53.44,1735.98,10.69,2.35,5.83,2.83,157.05,9.48,62.94,6.15,232.66,166.37,0.0043,0,0.008,0.0001,0.015,0.78,0.02,0.1
Byramangala Lake Series,Doddabidarakallu Lake,08-10-2021,8.67,96.4,1273.57,18.6,4.94,13.24,3.3,51.77,35.64,120.9,15.06,77.41,235.67,0.002,0.03,0.009,0.0002,0.044,2.62,0.03,0.11
Byramangala Lake Series,Doddabidarakallu Lake,15-10-2020,8.65,145.01,442.56,39.4,5.02,4.62,9.33,120.66,124.07,93.92,88.68,14.66,532.65,0.0022,0.18,0.018,0.0002,0.037,2.59,0.1,0.12
Byramangala Lake Series,Doddabidarakallu Lake,11-01-2020,6.93,66.3,1532.54,10.32,0.55,13.06,9.08,115.01,198.8,90.71,89.61,86.45,794.19,0.0012,0.2,0.016,0.0002,0.021,2.23,0.09,0.12
Byramangala Lake Series,Doddabidarakallu Lake,27-09-2020,6.22,133,394.77,20.15,0.64,12.79,8.09,94.48,26.96,88.73,47.8,187.77,208.66,0.0031,0.28,0.012,0.0002,0.012,1.82,0.09,0.1
Byramangala Lake Series,Doddabidarakallu Lake,26-05-2023,6.38,113.93,1965.19,37.05,6.42,7.02,2.56,46.91,120.5,35.24,88.5,100.73,754.8,0.0003,0.18,0.002,0.0001,0.032,2.14,0,0.13
Byramangala Lake Series,Doddabidarakallu Lake,20-06-2023,8.74,35.96,731.1,11.79,2.06,12.85,5.61,88.57,225.36,47.24,16.39,78.74,646.28,0.0008,0.05,0.02,0.0001,0.032,0.98,0.01,0.14
Byramangala Lake Series,Doddabidarakallu Lake,15-03-2020,6,135.44,2377.12,25.27,2.43,13.73,0.84,86.15,53.19,81.66,99.51,20.52,308.02,0.0047,0.21,0.019,0.0002,0.049,2.27,0.08,0.11
Byramangala Lake Series,Doddabidarakallu Lake,17-06-2023,6.88,148.39,1360.06,28.14,1.73,3.53,4.06,134.22,274.95,143.11,29.59,120.31,56.15,0.002,0.21,0.014,0.0001,0.038,2.34,0.06,0.11
Byramangala Lake Series,Doddabidarakallu Lake,11-10-2021,6.71,38.61,2718.87,23.68,2.28,13.63,8.61,109.67,236.7,64.93,48.82,39.76,875.6,0.0037,0.09,0.018,0.0002,0.045,1.74,0.08,0.14
Byramangala Lake Series,Doddabidarakallu Lake,05-03-2021,8.64,96.48,2423.71,36.98,5.36,14.91,2.47,179.32,59.56,113.19,80.3,160.07,624.37,0.0045,0.17,0.012,0.0001,0.01,1.49,0,0.12
Byramangala Lake Series,Doddabidarakallu Lake,28-10-2021,6.1,0.37,1886.88,14.27,6.45,10.93,0.75,43.52,51.94,4.42,33.39,22.09,30.7,0.0032,0.14,0.019,0.0002,0.011,0.55,0.07,0.13
Byramangala Lake Series,Doddabidarakallu Lake,07-06-2021,7.2,140.06,247.22,39.74,2.85,13.09,3.68,63.49,197.74,37.23,90.77,68.34,295.97,0.0011,0.07,0.015,0.0001,0.023,2.56,0.07,0.14
Byramangala Lake Series,Doddabidarakallu Lake,31-12-2021,7.32,110.73,2814.42,25.61,4.43,13.1,0.34,197.73,248.08,139.35,91.28,93.6,42.58,0.0035,0.03,0.002,0.0002,0.008,0.56,0.06,0.13
Byramangala Lake Series,Doddabidarakallu Lake,07-10-2023,8.6,15.91,2308.2,39.24,4.3,6.52,8.38,145.66,128.5,97.55,41.32,199.75,373.41,0.0021,0.1,0.014,0.0001,0.017,1.81,0.08,0.13
Byramangala Lake Series,Doddabidarakallu Lake,04-01-2020,8.27,140.37,29.52,14.48,3.24,9.02,7.7,128.62,52.6,85.26,45.92,127.04,141.3,0.0031,0.19,0.008,0.0002,0.025,2.82,0.01,0.11
Byramangala Lake Series,Doddabidarakallu Lake,05-04-2022,8.31,26.26,1610.6,18.62,1.33,4.67,8.02,35.78,185.96,78.95,20.46,130.95,870.81,0.0027,0.18,0.016,0.0002,0.025,1.13,0.08,0.14
Byramangala Lake Series,Doddabidarakallu Lake,12-01-2022,6.77,149.17,2758.29,28.83,1.38,13.75,6.74,29.82,221.2,44.53,89.87,123.98,101.02,0.0026,0.24,0.002,0.0001,0.014,0.37,0.01,0.11
Byramangala Lake Series,Doddabidarakallu Lake,23-05-2020,7.89,121.31,2044.64,36.32,5.9,9.49,4.97,81.51,128.86,9.58,29.3,186.56,477.35,0.0035,0.15,0.001,0.0001,0.017,2.23,0.03,0.12
Byramangala Lake Series,Doddabidarakallu Lake,03-09-2023,6.34,135.49,271.5,18.88,4.21,11.17,5.37,66.45,11.32,116.6,92.14,99,50.82,0.0011,0.05,0.007,0.0001,0.041,0.34,0.02,0.14
Byramangala Lake Series,Doddabidarakallu Lake,06-01-2023,7.2,25.15,2.72,37.72,6.99,4.99,3.3,103.99,194.71,28.51,73.97,99.26,49.92,0.0026,0.25,0.002,0.0002,0.01,0.98,0.07,0.1
Byramangala Lake Series,Doddabidarakallu Lake,11-05-2021,7.56,65.17,404.08,15.65,0.3,6.86,8.19,58.73,66.29,119.37,96.91,55.1,471.49,0.005,0.25,0.006,0.0001,0.043,0.82,0.09,0.12
Byramangala Lake Series,Doddabidarakallu Lake,06-10-2021,8.85,109.75,815.95,36.58,1.63,11.04,7.74,193.64,249.33,111.88,82.24,53.97,567.48,0.0036,0.03,0.014,0.0002,0.039,1.81,0.07,0.12
Byramangala Lake Series,Doddabidarakallu Lake,07-02-2021,7.6,135.93,2257.86,17.5,1.48,14.73,5.65,104.77,46.75,93.89,57.74,136.62,126.87,0.0032,0.08,0.015,0.0001,0.024,0.91,0.04,0.12
Byramangala Lake Series,Doddabidarakallu Lake,04-09-2020,6.72,68.62,404.89,23,2.22,9,9.62,130.61,95.03,109.28,72.68,69.93,971.29,0.0023,0.07,0.008,0.0001,0.014,0.84,0.05,0.14
Byramangala Lake Series,Doddabidarakallu Lake,28-02-2021,6.42,100.17,1810.88,15.15,4.28,3.39,8.67,93.39,14.64,145.36,16.61,212.51,440.51,0.0023,0.02,0.004,0.0001,0.017,1.02,0.05,0.1
Byramangala Lake Series,Doddabidarakallu Lake,01-01-2023,8.46,53.85,1637.12,15.13,4.35,11.41,4.07,136.74,15.83,60.95,99.89,44.98,273.25,0.0035,0.06,0.02,0.0002,0.026,2.77,0.01,0.1
Byramangala Lake Series,Doddabidarakallu Lake,29-01-2023,7.17,34.27,721.76,30.72,0.49,13.68,7.65,190.7,268.34,109.32,26.65,35.39,354.28,0.0009,0.24,0.006,0.0002,0.007,1.58,0.05,0.11
Byramangala Lake Series,Doddabidarakallu Lake,08-04-2021,6.13,95.85,2374.87,39.89,0.74,8.44,4.1,93.13,99.81,108.46,46.33,230.69,428.12,0.0046,0.08,0.016,0.0001,0.04,1.47,0.05,0.12
Byramangala Lake Series,Doddabidarakallu Lake,27-04-2021,7.91,102.17,1819.27,19.11,1.84,7.07,8.49,194.85,141.28,124.59,11.5,51.14,355.53,0.003,0.04,0.012,0.0002,0.029,0.46,0,0.11
Byramangala Lake Series,Doddabidarakallu Lake,20-03-2023,6.45,141.29,2164.93,25.69,5.67,4.63,2.97,145.7,133.37,11.7,12.71,164.29,664.64,0.0048,0.14,0.002,0.0001,0.029,2.68,0.02,0.15
Byramangala Lake Series,Doddabidarakallu Lake,06-09-2020,7.19,45.67,748.81,17.47,6.1,13.68,7.95,91.4,263.45,139.27,20.7,75.98,198.55,0.0026,0.26,0.002,0.0002,0.034,2.06,0.05,0.13
Byramangala Lake Series,Doddabidarakallu Lake,14-09-2020,7.4,100.39,2063.43,32.34,2.62,7.38,3.24,132.11,78.3,67.71,44.84,108.41,302.32,0.0031,0.22,0.002,0.0001,0.05,1.19,0.06,0.13
Byramangala Lake Series,Doddabidarakallu Lake,01-03-2020,7.56,100,251.71,38.08,5.49,10.85,8.62,25.31,156.28,41.65,80.15,153.74,408.22,0.0046,0.04,0.004,0.0002,0.04,1.47,0.03,0.12
Byramangala Lake Series,Doddabidarakallu Lake,12-01-2020,6.03,10.46,2583.08,20.58,2.62,7.92,7.42,59.54,219.02,128.15,10.13,52.07,744.92,0.0025,0.13,0.017,0.0002,0.024,2.27,0.09,0.1
Byramangala Lake Series,Doddabidarakallu Lake,03-04-2023,8.9,42.65,956.99,15.1,0.22,3.68,7.74,121.43,241.22,118.49,15.55,201.74,785.61,0.0028,0.29,0.016,0.0002,0.003,0.25,0.01,0.12
Byramangala Lake Series,Doddabidarakallu Lake,23-08-2022,6.4,142.78,741.5,12.27,5.38,11.02,3.69,75.55,254.58,91.09,7.9,108.71,150.74,0.0038,0.1,0.008,0.0001,0.003,2.64,0.01,0.15
Byramangala Lake Series,Doddabidarakallu Lake,28-04-2021,7.17,15.26,1593.94,38.57,5.87,10.02,4.87,75.43,63.68,78.67,99.74,77.05,283.64,0.0013,0.19,0.005,0.0001,0.016,2.34,0.02,0.11
Byramangala Lake Series,Doddabidarakallu Lake,24-08-2022,7.59,115.47,2679.28,10.75,3.64,7.85,7.96,41.35,184.62,36.57,66.31,139.24,692.15,0.0009,0.1,0.011,0.0001,0.03,0.47,0.03,0.13
Byramangala Lake Series,Doddabidarakallu Lake,02-02-2020,8.28,27.06,2609.51,13.57,4.12,9.87,7.37,139.45,285.21,140.26,77.73,158.85,187.82,0.0004,0.03,0.015,0.0001,0.039,1.61,0.07,0.12
Byramangala Lake Series,Doddabidarakallu Lake,17-06-2021,8.33,133.06,286.54,26.18,5.48,5.76,2.59,86.91,130.33,21.36,96.74,9.08,682.17,0.0048,0.01,0.016,0.0002,0.028,1.42,0.07,0.14
Byramangala Lake Series,Doddabidarakallu Lake,02-06-2023,6.34,69.74,2916.96,34.83,2.66,14.37,5.66,51.31,77.69,38.04,25.56,48.07,590.22,0.0013,0.1,0.018,0.0002,0.021,0.58,0.07,0.13
Byramangala Lake Series,Doddabidarakallu Lake,09-12-2023,6.14,95.85,197.41,30.12,2.33,8.64,8.93,47.69,147.67,65.12,86.02,177.11,533.63,0.0033,0.26,0.015,0.0002,0.041,2.08,0.1,0.1
Byramangala Lake Series,Doddabidarakallu Lake,21-03-2022,7.26,40.85,2683.37,10.53,6.14,6.34,8.59,107.54,296.13,138.57,55.63,127.96,56.3,0.0008,0.2,0.016,0.0001,0.035,0.63,0.06,0.14
Byramangala Lake Series,Doddabidarakallu Lake,10-08-2023,8.95,58.62,823.51,22.66,6.32,3.21,3.73,72.01,66.16,21.83,43.25,17.09,851.22,0.0011,0.2,0.017,0.0002,0.049,2.66,0.07,0.14
Byramangala Lake Series,Doddabidarakallu Lake,02-09-2021,8.29,83.85,360.4,12.73,0.43,4.22,8.49,184.84,117.99,56.7,35.67,212.06,417.11,0.0017,0.16,0.01,0.0001,0.038,1.4,0.06,0.15
Byramangala Lake Series,Doddabidarakallu Lake,07-02-2022,7.98,95.4,1665.93,22.54,3.84,6.67,2.7,90.64,108.43,121.46,25.85,237.03,572.11,0.002,0.29,0.018,0.0001,0.03,2.84,0,0.13
Byramangala Lake Series,Doddabidarakallu Lake,05-07-2023,7.14,38.5,270.07,32.14,1.58,7.6,4.31,133.03,229.83,71.89,69.67,72.01,64.27,0.0036,0.07,0.014,0.0002,0.012,0.53,0.06,0.12
Byramangala Lake Series,Doddabidarakallu Lake,09-06-2021,6.04,98.81,681.28,39.52,6.68,12.37,4.85,48.81,246.25,66.26,54.79,106.37,440.86,0.0029,0.21,0.018,0.0002,0.049,0.52,0.09,0.11
Byramangala Lake Series,Doddabidarakallu Lake,04-02-2024,7.99,135.65,2103.96,39.67,4.09,7.55,6.42,111.05,83.51,100.83,54.45,244.44,16.65,0.0046,0.15,0.02,0.0002,0.011,1.29,0.09,0.1
Byramangala Lake Series,Doddabidarakallu Lake,19-12-2023,7.48,16.18,1567.3,18.25,5.02,7.22,2.1,126.5,71.98,148.75,89.9,241.59,894.69,0.0029,0.01,0.009,0.0002,0.02,1.76,0.08,0.14
Byramangala Lake Series,Doddabidarakallu Lake,29-05-2020,6.14,58,1166.04,21.9,4.05,14.55,3.47,135.09,190.19,26.27,19.84,66.53,490.43,0.0032,0.06,0.006,0.0002,0.02,2.21,0.02,0.13
Byramangala Lake Series,Doddabidarakallu Lake,28-03-2022,8.37,13.95,445.73,33.64,1,8.19,2.75,171.94,109.13,85.63,73.37,48.88,790.49,0.0037,0.07,0.016,0.0001,0.034,1.96,0.04,0.1
Byramangala Lake Series,Doddabidarakallu Lake,20-05-2021,7.64,94.45,2898.57,26.05,1.7,6.93,0.78,82.66,6.56,71.76,56.66,51.26,154.22,0.0047,0.24,0.001,0.0002,0.04,1.62,0.04,0.11
Byramangala Lake Series,Doddabidarakallu Lake,21-12-2022,6.81,85.62,2507.33,32.31,4.61,10.52,5.07,42.44,104.47,138.68,53.07,98.24,722.96,0.0014,0,0.009,0.0001,0.012,0.01,0.02,0.13
Byramangala Lake Series,Doddabidarakallu Lake,18-09-2021,8.54,129.92,2801.27,13.71,2.44,3.96,7.76,77.18,273.12,14,64.2,39.45,306.62,0.0047,0.06,0.018,0.0002,0.01,2.36,0.04,0.12
Byramangala Lake Series,Chikkabanavara Lake,26-06-2020,8.65,37.03,511,39.87,3.12,13.72,0.12,155.95,41.71,56.75,7.93,44.98,0.48,0.0041,0.27,0.003,0.0002,0.045,2.22,0.05,0.13
Byramangala Lake Series,Chikkabanavara Lake,12-11-2023,6.76,59.74,2769.81,12.77,3.86,14.59,4.38,75.64,267.75,95.62,36.35,111.01,267.71,0.0011,0.27,0.019,0.0001,0.029,1.45,0.08,0.14
Byramangala Lake Series,Chikkabanavara Lake,07-04-2021,8.59,37.63,1401.92,29.74,6.99,6.75,7.79,100,7.38,92.59,90.37,43.81,336.87,0.0027,0.04,0.011,0.0002,0.01,0.53,0.06,0.12
Byramangala Lake Series,Chikkabanavara Lake,23-01-2022,8.68,18.5,2886.04,13.37,4.32,6.04,4.93,142.98,137.85,127.98,75.39,244.75,101.48,0.0034,0.14,0.009,0.0002,0.026,1.51,0.03,0.14
Byramangala Lake Series,Chikkabanavara Lake,23-01-2022,6.93,18.31,1753.4,26.58,4.36,11.75,7.35,169.59,275.8,146.81,78.33,214.41,105.9,0.0045,0.3,0.018,0.0001,0.047,2.85,0.02,0.11
Byramangala Lake Series,Chikkabanavara Lake,08-08-2023,7.39,110.08,1541.17,11.61,0.44,3.79,9.76,105.98,111.85,7.6,35.62,108.63,859.93,0.0023,0.25,0.003,0.0001,0.004,0.21,0.07,0.12
Byramangala Lake Series,Chikkabanavara Lake,01-06-2022,7.62,9.34,1643.49,33.19,1.74,4.46,8.55,164.77,36.29,12.04,47.23,0.22,111.21,0.0035,0.16,0.011,0.0001,0.003,2.02,0.01,0.1
Byramangala Lake Series,Chikkabanavara Lake,09-04-2024,8.75,95.75,716.29,35.33,1.88,7.71,2.72,165.78,216.8,120.67,91.78,231.69,1.4,0.0006,0.05,0.01,0.0002,0.018,1.84,0.07,0.13
Byramangala Lake Series,Chikkabanavara Lake,26-11-2023,6.77,109.33,1749.35,32.56,3.33,4.39,8.78,84.61,273.72,16.17,49.79,189.85,900.33,0.0026,0.1,0.013,0.0002,0.029,1.26,0.09,0.1
Byramangala Lake Series,Chikkabanavara Lake,04-12-2022,8.2,40.43,2802.78,35.37,4.99,8.04,3.12,30.25,233.35,124.53,67.43,89.64,659.19,0.0043,0.22,0.016,0.0002,0.029,2.15,0.05,0.11
Byramangala Lake Series,Chikkabanavara Lake,14-03-2022,6.99,37.01,2528.17,26.85,5.02,10.87,9.42,79.78,251.29,63.42,18.71,210.92,733.21,0.004,0.04,0.016,0.0001,0.01,2.08,0.07,0.12
Byramangala Lake Series,Chikkabanavara Lake,05-02-2024,6.49,85.71,2944.48,12.53,5.18,6.63,4.12,57.95,291.3,119.07,17.05,246.54,414.17,0.0004,0.02,0.017,0.0001,0.008,1.05,0.04,0.14
Byramangala Lake Series,Chikkabanavara Lake,24-03-2021,8.51,56.67,692.91,26.53,2.52,7.66,9.38,55.08,151.88,103.72,2.19,181.94,15.76,0.0046,0.14,0.018,0.0002,0.05,1.39,0.09,0.11
Byramangala Lake Series,Chikkabanavara Lake,22-10-2021,7.11,132.23,2776.49,21.76,6.1,14.47,1.22,181.2,202.36,42.46,51.89,111.18,189.89,0.0026,0.11,0.004,0.0001,0.029,0.49,0.02,0.12
Byramangala Lake Series,Chikkabanavara Lake,28-09-2021,7.66,46.98,2722.46,27.58,5.02,4.15,4.71,166.67,135.13,39.33,44.09,247.97,197.35,0.0011,0.04,0.002,0.0001,0.004,1.39,0.01,0.14
Byramangala Lake Series,Chikkabanavara Lake,06-08-2023,8.81,57.6,899.7,38.96,0.48,14.97,7.82,134.64,271.54,65.76,5.98,39.78,3.25,0.0018,0.19,0.007,0.0002,0.031,2.88,0.09,0.13
Byramangala Lake Series,Chikkabanavara Lake,25-07-2022,7.92,123.02,753.99,15.77,3.9,8.62,6.5,186.78,53.83,19.99,99.03,78.21,491.42,0.0009,0.25,0.017,0.0002,0.041,2.59,0.03,0.15
Byramangala Lake Series,Chikkabanavara Lake,13-09-2023,6.2,104.65,2089.93,21.35,6.31,6.02,6.37,148.51,108.96,57.82,96.56,55.99,127.33,0.0035,0.27,0.004,0.0002,0.036,1.57,0.04,0.1
Byramangala Lake Series,Chikkabanavara Lake,12-05-2022,8.55,109.38,2162.96,13.29,1.51,12.09,5.56,111.58,54.64,51.89,68.98,235.51,551.31,0.004,0,0.001,0.0001,0.013,0.35,0.02,0.12
Byramangala Lake Series,Chikkabanavara Lake,15-07-2022,8.09,72.56,1945.95,37.94,5.07,6.51,3.76,101.29,102.71,108.39,36.92,146.93,551.19,0.0022,0.17,0.01,0.0002,0.007,2.6,0.09,0.12
Byramangala Lake Series,Chikkabanavara Lake,17-06-2020,8.44,13.85,2948.15,28.4,1.19,8.26,0.26,20.87,100.78,40.77,22.08,91.11,331.26,0.0047,0.17,0.017,0.0002,0.024,0.17,0.02,0.13
Byramangala Lake Series,Chikkabanavara Lake,14-09-2022,7.96,123.07,1648.3,29.89,4.56,11.93,1.51,156.52,161.65,149.97,74.57,122.16,754.71,0.0017,0.05,0.016,0.0002,0.034,2.69,0.07,0.14
Byramangala Lake Series,Chikkabanavara Lake,21-11-2022,7.25,57.54,1737.57,30.35,0.89,8.98,0.09,65.15,113.62,48.45,35.27,26.92,171.88,0.0042,0.28,0.015,0.0001,0.024,0.9,0.03,0.11
Byramangala Lake Series,Chikkabanavara Lake,21-11-2021,8.2,27.87,2071.59,11.38,2.85,8.74,4.02,55.08,223.94,101.61,18.57,186.88,620.18,0.0027,0.29,0.009,0.0001,0.049,1.55,0.02,0.13
Byramangala Lake Series,Chikkabanavara Lake,08-03-2023,7.46,114.29,2730.48,21.1,2.19,11.33,9.43,126.35,299.69,112.06,12.47,153.97,704.27,0.0021,0.27,0.015,0.0001,0.008,1.47,0.03,0.14
Byramangala Lake Series,Chikkabanavara Lake,19-08-2023,8.7,46.63,2390.17,36.18,0.08,6.56,9.68,196.75,125.39,68.96,74.21,215.57,805.17,0.0018,0.14,0.01,0.0002,0.024,2.11,0.07,0.11
Byramangala Lake Series,Chikkabanavara Lake,14-03-2021,7.27,58.58,1082.16,37.74,6.89,11.34,1.1,31.96,114.13,106.41,3.81,7.13,218.73,0.0047,0.29,0.018,0.0002,0.037,1.6,0.02,0.14
Byramangala Lake Series,Chikkabanavara Lake,17-05-2024,7.06,81.1,2150.58,20.47,0.34,9.31,3.21,104.81,226.27,128.18,67.95,71.19,613.3,0.0025,0.19,0.009,0.0001,0.021,2.19,0.01,0.13
Byramangala Lake Series,Chikkabanavara Lake,28-11-2023,7.79,57.36,19.39,34.81,0.44,11.68,4.83,145.22,107.77,6.58,45.41,111.8,729.36,0.0041,0.16,0.01,0.0001,0.005,2.4,0.08,0.12
Byramangala Lake Series,Chikkabanavara Lake,03-04-2020,8.36,120.09,1699.65,33.94,1.24,5.58,8.73,45.66,93.38,139.5,5.18,108.92,686.65,0.0016,0.12,0.016,0.0001,0.022,0.66,0.01,0.15
Byramangala Lake Series,Chikkabanavara Lake,23-07-2021,6.39,16.88,250.89,16.91,5.62,13.34,8.35,152.4,126.53,111.08,1.71,37.6,580.39,0.0015,0.03,0.005,0.0002,0.015,0.21,0.07,0.1
Byramangala Lake Series,Chikkabanavara Lake,28-08-2021,7,50.39,2307.1,20.06,2.84,9.34,7.33,86.2,99.24,21.41,99.5,42.44,644.88,0.0021,0.24,0.014,0.0002,0.027,0.15,0.03,0.12
Byramangala Lake Series,Chikkabanavara Lake,10-01-2022,6.54,91.08,396.18,31.56,2.65,12.28,7.27,102.43,210.58,73.04,25.62,188.87,921.23,0.0017,0.15,0.009,0.0002,0.047,2.17,0.02,0.15
Byramangala Lake Series,Chikkabanavara Lake,16-08-2023,6.84,51.97,2208.63,15.29,4.93,4.19,1.26,154.04,285.23,118.89,49.88,5.19,485.4,0.004,0.17,0.008,0.0001,0.038,2.41,0.01,0.12
Byramangala Lake Series,Chikkabanavara Lake,28-03-2023,7.14,137.15,373.96,38.21,0.93,11.81,3.7,84.94,260.66,137.74,74.08,152.02,405.94,0.0003,0.12,0.017,0.0002,0.043,2.15,0.03,0.1
Byramangala Lake Series,Chikkabanavara Lake,26-09-2022,7.59,138.89,988.62,13.66,1.88,13.16,3.21,187.63,13.23,44.51,27.73,96.15,255.27,0.0042,0.09,0.008,0.0002,0.05,0.65,0.1,0.11
Byramangala Lake Series,Chikkabanavara Lake,12-09-2020,7.1,34.84,175.11,39.92,3.83,14.7,8.05,113.99,297.94,110.9,25.78,219.76,690.32,0.0012,0.06,0.006,0.0001,0.026,1.97,0.03,0.14
Byramangala Lake Series,Chikkabanavara Lake,11-08-2020,6.97,51.07,44.75,10.36,6.11,7.65,7.58,171.18,97.4,10.46,26.34,13.58,822.71,0.0016,0.3,0.009,0.0001,0.02,2.28,0.01,0.12
Byramangala Lake Series,Chikkabanavara Lake,13-05-2024,8.28,6.52,634.44,25.8,4.56,10.68,6.5,32.56,54.27,39.84,68.57,219.57,950.81,0.0022,0.26,0.014,0.0001,0.044,0.89,0.06,0.15
Byramangala Lake Series,Chikkabanavara Lake,06-08-2021,7.97,121.27,537.81,32.58,6.39,12.06,5.18,55.65,245.76,118.55,58.25,115.1,727.8,0.0038,0.03,0.002,0.0001,0.034,2.93,0.02,0.1
Byramangala Lake Series,Chikkabanavara Lake,21-12-2020,7.82,41.83,1937.61,33.8,4.34,4.08,1.9,59.12,95.17,62.5,42.02,65.82,37.26,0.0025,0.03,0.01,0.0002,0.029,2,0.06,0.15
Byramangala Lake Series,Chikkabanavara Lake,10-08-2023,8.44,63.25,2331.88,22.82,2.45,14.77,8.95,63.83,17.14,97.33,57.73,241.36,203.89,0.0027,0.25,0.009,0.0001,0.006,2.77,0.04,0.13
Byramangala Lake Series,Chikkabanavara Lake,16-03-2021,8.55,113.04,1371.55,19.82,5.36,12.28,0.1,41.28,142.67,98.28,4.75,194.93,549.36,0.0042,0.29,0.004,0.0001,0.036,0.81,0.03,0.1
Byramangala Lake Series,Chikkabanavara Lake,08-05-2024,8.42,45.77,1062.11,19.34,2.78,14.97,6.05,46.16,229.88,119.36,72.66,216.95,941.74,0.0034,0.12,0.01,0.0001,0.007,2.77,0.08,0.13
Byramangala Lake Series,Chikkabanavara Lake,29-01-2022,6.12,118.88,2523.88,13.93,5.83,12.41,5.1,87.72,237.83,65.14,17.87,115.51,806.24,0.001,0.12,0.02,0.0001,0.049,1.11,0.03,0.11
Byramangala Lake Series,Chikkabanavara Lake,31-03-2022,6.68,42.67,1021.45,22.18,2.4,14.13,0.82,99.75,213.92,71.77,9.1,40.24,800.39,0.0035,0.08,0.012,0.0001,0.046,0.55,0.06,0.13
Byramangala Lake Series,Chikkabanavara Lake,23-01-2024,8.87,84.27,227.03,29.48,0.89,8.35,9.97,92.69,90.28,100.6,4.9,246.79,396.47,0.0003,0.28,0.013,0.0001,0.018,1.14,0.02,0.12
Byramangala Lake Series,Chikkabanavara Lake,14-10-2023,8.07,129.57,1868.03,11.6,6.06,9.77,7.03,165.51,164.05,73.26,29.15,79.53,793.19,0.0044,0.24,0.017,0.0001,0.033,1.27,0.03,0.15
Byramangala Lake Series,Chikkabanavara Lake,04-11-2021,6.97,123.8,701.84,32.16,5.2,3.88,3.28,181.27,55.6,140,58.17,94.15,216.49,0.0034,0.16,0.004,0.0001,0.034,2.07,0.03,0.11
Byramangala Lake Series,Chikkabanavara Lake,03-03-2023,7.29,51.67,944.74,34.15,3.77,4.44,9.89,94.69,290.5,27.59,18.01,21.32,899.91,0.0047,0.16,0.008,0.0002,0.025,1.81,0.07,0.13
Byramangala Lake Series,Chikkabanavara Lake,15-01-2021,6.46,41.85,222.73,23.42,3.92,8.66,3.27,169.14,138.35,74.76,58.86,173.67,573.56,0.0017,0.2,0.009,0.0002,0.018,2.74,0.03,0.11
Byramangala Lake Series,Chikkabanavara Lake,05-12-2020,7.76,102.66,273.88,34.74,4.07,6.53,3.91,60.74,58.86,2.12,20.34,67.5,278.97,0.0033,0.21,0.002,0.0002,0.047,1.02,0.03,0.14
Byramangala Lake Series,Chikkabanavara Lake,13-03-2020,7.85,76.96,1038.41,30.27,1.38,8.77,4.04,176.94,213.95,141.86,75.7,98.73,270.84,0.0008,0.23,0.018,0.0001,0.03,0.15,0.06,0.13
Byramangala Lake Series,Chikkabanavara Lake,06-06-2023,8.68,86.34,2823.03,37.92,1.71,13.56,9.04,161.75,82.9,6.6,12.06,239.8,241.79,0.001,0.21,0.018,0.0002,0.023,0.72,0.02,0.15
